,0,1,2
24050,Kitchener-Cambridge-Waterloo,Ontario,
24052,Kitchener-Cambridge-Waterloo,Ontario,
24053,Kitchener-Cambridge-Waterloo,Ontario,
24055,London,Ontario,
24056,London,Ontario,
24058,London,Ontario,
24059,London,Ontario,
24061,Moncton,New Brunswick,
24062,Moncton,New Brunswick,
24064,Moncton,New Brunswick,
24065,Moncton,New Brunswick,
24067,Montréal excluding Saint-Jérôme,Quebec,
24068,Montréal excluding Saint-Jérôme,Quebec,
24070,Montréal excluding Saint-Jérôme,Quebec,
24071,Montréal excluding Saint-Jérôme,Quebec,
24073,Oshawa,Ontario,
24074,Oshawa,Ontario,
24076,Oshawa,Ontario,
24077,Oshawa,Ontario,
24079,Ottawa-Gatineau,Ontario/Quebec,
24080,Ottawa-Gatineau,Ontario/Quebec,
24082,Ottawa-Gatineau,Ontario/Quebec,
24083,Ottawa-Gatineau,Ontario/Quebec,
24085,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24086,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24088,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24089,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24091,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24092,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24094,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24095,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24097,Peterborough,Ontario,
24098,Peterborough,Ontario,
24100,Peterborough,Ontario,
24101,Peterborough,Ontario,
24103,Québec,Quebec,
24104,Québec,Quebec,
24106,Québec,Quebec,
24107,Québec,Quebec,
24109,Regina,Saskatchewan,
24110,Regina,Saskatchewan,
24112,Regina,Saskatchewan,
24113,Regina,Saskatchewan,
24115,St. Catharines-Niagara,Ontario,
24116,St. Catharines-Niagara,Ontario,
24118,St. Catharines-Niagara,Ontario,
24119,St. Catharines-Niagara,Ontario,
24121,St. John's,Newfoundland and Labrador,
24122,St. John's,Newfoundland and Labrador,
24124,St. John's,Newfoundland and Labrador,
24125,St. John's,Newfoundland and Labrador,
24127,Saguenay,Quebec,
24128,Saguenay,Quebec,
24130,Saguenay,Quebec,
24131,Saguenay,Quebec,
24133,Saint John,New Brunswick,
24134,Saint John,New Brunswick,
24136,Saint John,New Brunswick,
24137,Saint John,New Brunswick,
24139,Saskatoon,Saskatchewan,
24140,Saskatoon,Saskatchewan,
24142,Saskatoon,Saskatchewan,
24143,Saskatoon,Saskatchewan,
24145,Sherbrooke,Quebec,
24146,Sherbrooke,Quebec,
24148,Sherbrooke,Quebec,
24149,Sherbrooke,Quebec,
24151,Thunder Bay,Ontario,
24152,Thunder Bay,Ontario,
24154,Thunder Bay,Ontario,
24155,Thunder Bay,Ontario,
24157,Toronto,Ontario,
24158,Toronto,Ontario,
24160,Toronto,Ontario,
24161,Toronto,Ontario,
24163,Trois-Rivières,Quebec,
24164,Trois-Rivières,Quebec,
24166,Trois-Rivières,Quebec,
24167,Trois-Rivières,Quebec,
24169,Vancouver,British Columbia,
24170,Vancouver,British Columbia,
24172,Vancouver,British Columbia,
24173,Vancouver,British Columbia,
24175,Victoria,British Columbia,
24176,Victoria,British Columbia,
24178,Victoria,British Columbia,
24179,Victoria,British Columbia,
24181,Windsor,Ontario,
24182,Windsor,Ontario,
24184,Windsor,Ontario,
24185,Windsor,Ontario,
24187,Winnipeg,Manitoba,
24188,Winnipeg,Manitoba,
24190,Winnipeg,Manitoba,
24191,Winnipeg,Manitoba,
24199,Abbotsford-Mission,British Columbia,
24200,Abbotsford-Mission,British Columbia,
24202,Abbotsford-Mission,British Columbia,
24203,Abbotsford-Mission,British Columbia,
24205,Barrie,Ontario,
24206,Barrie,Ontario,
24208,Barrie,Ontario,
24209,Barrie,Ontario,
24211,Brantford,Ontario,
24212,Brantford,Ontario,
24214,Brantford,Ontario,
24215,Brantford,Ontario,
24217,Calgary,Alberta,
24218,Calgary,Alberta,
24220,Calgary,Alberta,
24221,Calgary,Alberta,
24223,Edmonton,Alberta,
24224,Edmonton,Alberta,
24226,Edmonton,Alberta,
24227,Edmonton,Alberta,
24229,Greater Sudbury,Ontario,
24230,Greater Sudbury,Ontario,
24232,Greater Sudbury,Ontario,
24233,Greater Sudbury,Ontario,
24235,Guelph,Ontario,
24236,Guelph,Ontario,
24238,Guelph,Ontario,
24239,Guelph,Ontario,
24241,Halifax,Nova Scotia,
24242,Halifax,Nova Scotia,
24244,Halifax,Nova Scotia,
24245,Halifax,Nova Scotia,
24247,Hamilton,Ontario,
24248,Hamilton,Ontario,
24250,Hamilton,Ontario,
24251,Hamilton,Ontario,
24253,Kelowna,British Columbia,
24254,Kelowna,British Columbia,
24256,Kelowna,British Columbia,
24257,Kelowna,British Columbia,
24259,Kingston,Ontario,
24260,Kingston,Ontario,
24262,Kingston,Ontario,
24263,Kingston,Ontario,
24265,Kitchener-Cambridge-Waterloo,Ontario,
24266,Kitchener-Cambridge-Waterloo,Ontario,
24268,Kitchener-Cambridge-Waterloo,Ontario,
24269,Kitchener-Cambridge-Waterloo,Ontario,
24271,London,Ontario,
24272,London,Ontario,
24274,London,Ontario,
24275,London,Ontario,
24277,Moncton,New Brunswick,
24278,Moncton,New Brunswick,
24280,Moncton,New Brunswick,
24281,Moncton,New Brunswick,
24283,Montréal excluding Saint-Jérôme,Quebec,
24284,Montréal excluding Saint-Jérôme,Quebec,
24286,Montréal excluding Saint-Jérôme,Quebec,
24287,Montréal excluding Saint-Jérôme,Quebec,
24289,Oshawa,Ontario,
24290,Oshawa,Ontario,
24292,Oshawa,Ontario,
24293,Oshawa,Ontario,
24295,Ottawa-Gatineau,Ontario/Quebec,
24296,Ottawa-Gatineau,Ontario/Quebec,
24298,Ottawa-Gatineau,Ontario/Quebec,
24299,Ottawa-Gatineau,Ontario/Quebec,
24301,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24302,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24304,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24305,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24307,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24308,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24310,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24311,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24313,Peterborough,Ontario,
24314,Peterborough,Ontario,
24316,Peterborough,Ontario,
24317,Peterborough,Ontario,
24319,Québec,Quebec,
24320,Québec,Quebec,
24322,Québec,Quebec,
24323,Québec,Quebec,
24325,Regina,Saskatchewan,
24326,Regina,Saskatchewan,
24328,Regina,Saskatchewan,
24329,Regina,Saskatchewan,
24331,St. Catharines-Niagara,Ontario,
24332,St. Catharines-Niagara,Ontario,
24334,St. Catharines-Niagara,Ontario,
24335,St. Catharines-Niagara,Ontario,
24337,St. John's,Newfoundland and Labrador,
24338,St. John's,Newfoundland and Labrador,
24340,St. John's,Newfoundland and Labrador,
24341,St. John's,Newfoundland and Labrador,
24343,Saguenay,Quebec,
24344,Saguenay,Quebec,
24346,Saguenay,Quebec,
24347,Saguenay,Quebec,
24349,Saint John,New Brunswick,
24350,Saint John,New Brunswick,
24352,Saint John,New Brunswick,
24353,Saint John,New Brunswick,
24355,Saskatoon,Saskatchewan,
24356,Saskatoon,Saskatchewan,
24358,Saskatoon,Saskatchewan,
24359,Saskatoon,Saskatchewan,
24361,Sherbrooke,Quebec,
24362,Sherbrooke,Quebec,
24364,Sherbrooke,Quebec,
24365,Sherbrooke,Quebec,
24367,Thunder Bay,Ontario,
24368,Thunder Bay,Ontario,
24370,Thunder Bay,Ontario,
24371,Thunder Bay,Ontario,
24373,Toronto,Ontario,
24374,Toronto,Ontario,
24376,Toronto,Ontario,
24377,Toronto,Ontario,
24379,Trois-Rivières,Quebec,
24380,Trois-Rivières,Quebec,
24382,Trois-Rivières,Quebec,
24383,Trois-Rivières,Quebec,
24385,Vancouver,British Columbia,
24386,Vancouver,British Columbia,
24388,Vancouver,British Columbia,
24389,Vancouver,British Columbia,
24391,Victoria,British Columbia,
24392,Victoria,British Columbia,
24394,Victoria,British Columbia,
24395,Victoria,British Columbia,
24397,Windsor,Ontario,
24398,Windsor,Ontario,
24400,Windsor,Ontario,
24401,Windsor,Ontario,
24403,Winnipeg,Manitoba,
24404,Winnipeg,Manitoba,
24406,Winnipeg,Manitoba,
24407,Winnipeg,Manitoba,
24415,Abbotsford-Mission,British Columbia,
24416,Abbotsford-Mission,British Columbia,
24418,Abbotsford-Mission,British Columbia,
24419,Abbotsford-Mission,British Columbia,
24421,Barrie,Ontario,
24422,Barrie,Ontario,
24424,Barrie,Ontario,
24425,Barrie,Ontario,
24427,Brantford,Ontario,
24428,Brantford,Ontario,
24430,Brantford,Ontario,
24431,Brantford,Ontario,
24433,Calgary,Alberta,
24434,Calgary,Alberta,
24436,Calgary,Alberta,
24437,Calgary,Alberta,
24439,Edmonton,Alberta,
24440,Edmonton,Alberta,
24442,Edmonton,Alberta,
24443,Edmonton,Alberta,
24445,Greater Sudbury,Ontario,
24446,Greater Sudbury,Ontario,
24448,Greater Sudbury,Ontario,
24449,Greater Sudbury,Ontario,
24451,Guelph,Ontario,
24452,Guelph,Ontario,
24454,Guelph,Ontario,
24455,Guelph,Ontario,
24457,Halifax,Nova Scotia,
24458,Halifax,Nova Scotia,
24460,Halifax,Nova Scotia,
24461,Halifax,Nova Scotia,
24463,Hamilton,Ontario,
24464,Hamilton,Ontario,
24466,Hamilton,Ontario,
24467,Hamilton,Ontario,
24469,Kelowna,British Columbia,
24470,Kelowna,British Columbia,
24472,Kelowna,British Columbia,
24473,Kelowna,British Columbia,
24475,Kingston,Ontario,
24476,Kingston,Ontario,
24478,Kingston,Ontario,
24479,Kingston,Ontario,
24481,Kitchener-Cambridge-Waterloo,Ontario,
24482,Kitchener-Cambridge-Waterloo,Ontario,
24484,Kitchener-Cambridge-Waterloo,Ontario,
24485,Kitchener-Cambridge-Waterloo,Ontario,
24487,London,Ontario,
24488,London,Ontario,
24490,London,Ontario,
24491,London,Ontario,
24493,Moncton,New Brunswick,
24494,Moncton,New Brunswick,
24496,Moncton,New Brunswick,
24497,Moncton,New Brunswick,
24499,Montréal excluding Saint-Jérôme,Quebec,
24500,Montréal excluding Saint-Jérôme,Quebec,
24502,Montréal excluding Saint-Jérôme,Quebec,
24503,Montréal excluding Saint-Jérôme,Quebec,
24505,Oshawa,Ontario,
24506,Oshawa,Ontario,
24508,Oshawa,Ontario,
24509,Oshawa,Ontario,
24511,Ottawa-Gatineau,Ontario/Quebec,
24512,Ottawa-Gatineau,Ontario/Quebec,
24514,Ottawa-Gatineau,Ontario/Quebec,
24515,Ottawa-Gatineau,Ontario/Quebec,
24517,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24518,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24520,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24521,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24523,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24524,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24526,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24527,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24529,Peterborough,Ontario,
24530,Peterborough,Ontario,
24532,Peterborough,Ontario,
24533,Peterborough,Ontario,
24535,Québec,Quebec,
24536,Québec,Quebec,
24538,Québec,Quebec,
24539,Québec,Quebec,
24541,Regina,Saskatchewan,
24542,Regina,Saskatchewan,
24544,Regina,Saskatchewan,
24545,Regina,Saskatchewan,
24547,St. Catharines-Niagara,Ontario,
24548,St. Catharines-Niagara,Ontario,
24550,St. Catharines-Niagara,Ontario,
24551,St. Catharines-Niagara,Ontario,
24553,St. John's,Newfoundland and Labrador,
24554,St. John's,Newfoundland and Labrador,
24556,St. John's,Newfoundland and Labrador,
24557,St. John's,Newfoundland and Labrador,
24559,Saguenay,Quebec,
24560,Saguenay,Quebec,
24562,Saguenay,Quebec,
24563,Saguenay,Quebec,
24565,Saint John,New Brunswick,
24566,Saint John,New Brunswick,
24568,Saint John,New Brunswick,
24569,Saint John,New Brunswick,
24571,Saskatoon,Saskatchewan,
24572,Saskatoon,Saskatchewan,
24574,Saskatoon,Saskatchewan,
24575,Saskatoon,Saskatchewan,
24577,Sherbrooke,Quebec,
24578,Sherbrooke,Quebec,
24580,Sherbrooke,Quebec,
24581,Sherbrooke,Quebec,
24583,Thunder Bay,Ontario,
24584,Thunder Bay,Ontario,
24586,Thunder Bay,Ontario,
24587,Thunder Bay,Ontario,
24589,Toronto,Ontario,
24590,Toronto,Ontario,
24592,Toronto,Ontario,
24593,Toronto,Ontario,
24595,Trois-Rivières,Quebec,
24596,Trois-Rivières,Quebec,
24598,Trois-Rivières,Quebec,
24599,Trois-Rivières,Quebec,
24601,Vancouver,British Columbia,
24602,Vancouver,British Columbia,
24604,Vancouver,British Columbia,
24605,Vancouver,British Columbia,
24607,Victoria,British Columbia,
24608,Victoria,British Columbia,
24610,Victoria,British Columbia,
24611,Victoria,British Columbia,
24613,Windsor,Ontario,
24614,Windsor,Ontario,
24616,Windsor,Ontario,
24617,Windsor,Ontario,
24619,Winnipeg,Manitoba,
24620,Winnipeg,Manitoba,
24622,Winnipeg,Manitoba,
24623,Winnipeg,Manitoba,
24631,Abbotsford-Mission,British Columbia,
24632,Abbotsford-Mission,British Columbia,
24634,Abbotsford-Mission,British Columbia,
24635,Abbotsford-Mission,British Columbia,
24637,Barrie,Ontario,
24638,Barrie,Ontario,
24640,Barrie,Ontario,
24641,Barrie,Ontario,
24643,Brantford,Ontario,
24644,Brantford,Ontario,
24646,Brantford,Ontario,
24647,Brantford,Ontario,
24649,Calgary,Alberta,
24650,Calgary,Alberta,
24652,Calgary,Alberta,
24653,Calgary,Alberta,
24655,Edmonton,Alberta,
24656,Edmonton,Alberta,
24658,Edmonton,Alberta,
24659,Edmonton,Alberta,
24661,Greater Sudbury,Ontario,
24662,Greater Sudbury,Ontario,
24664,Greater Sudbury,Ontario,
24665,Greater Sudbury,Ontario,
24667,Guelph,Ontario,
24668,Guelph,Ontario,
24670,Guelph,Ontario,
24671,Guelph,Ontario,
24673,Halifax,Nova Scotia,
24674,Halifax,Nova Scotia,
24676,Halifax,Nova Scotia,
24677,Halifax,Nova Scotia,
24679,Hamilton,Ontario,
24680,Hamilton,Ontario,
24682,Hamilton,Ontario,
24683,Hamilton,Ontario,
24685,Kelowna,British Columbia,
24686,Kelowna,British Columbia,
24688,Kelowna,British Columbia,
24689,Kelowna,British Columbia,
24691,Kingston,Ontario,
24692,Kingston,Ontario,
24694,Kingston,Ontario,
24695,Kingston,Ontario,
24697,Kitchener-Cambridge-Waterloo,Ontario,
24698,Kitchener-Cambridge-Waterloo,Ontario,
24700,Kitchener-Cambridge-Waterloo,Ontario,
24701,Kitchener-Cambridge-Waterloo,Ontario,
24703,London,Ontario,
24704,London,Ontario,
24706,London,Ontario,
24707,London,Ontario,
24709,Moncton,New Brunswick,
24710,Moncton,New Brunswick,
24712,Moncton,New Brunswick,
24713,Moncton,New Brunswick,
24715,Montréal excluding Saint-Jérôme,Quebec,
24716,Montréal excluding Saint-Jérôme,Quebec,
24718,Montréal excluding Saint-Jérôme,Quebec,
24719,Montréal excluding Saint-Jérôme,Quebec,
24721,Oshawa,Ontario,
24722,Oshawa,Ontario,
24724,Oshawa,Ontario,
24725,Oshawa,Ontario,
24727,Ottawa-Gatineau,Ontario/Quebec,
24728,Ottawa-Gatineau,Ontario/Quebec,
24730,Ottawa-Gatineau,Ontario/Quebec,
24731,Ottawa-Gatineau,Ontario/Quebec,
24733,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24734,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24736,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24737,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24739,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24740,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24742,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24743,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24745,Peterborough,Ontario,
24746,Peterborough,Ontario,
24748,Peterborough,Ontario,
24749,Peterborough,Ontario,
24751,Québec,Quebec,
24752,Québec,Quebec,
24754,Québec,Quebec,
24755,Québec,Quebec,
24757,Regina,Saskatchewan,
24758,Regina,Saskatchewan,
24760,Regina,Saskatchewan,
24761,Regina,Saskatchewan,
24763,St. Catharines-Niagara,Ontario,
24764,St. Catharines-Niagara,Ontario,
24766,St. Catharines-Niagara,Ontario,
24767,St. Catharines-Niagara,Ontario,
24769,St. John's,Newfoundland and Labrador,
24770,St. John's,Newfoundland and Labrador,
24772,St. John's,Newfoundland and Labrador,
24773,St. John's,Newfoundland and Labrador,
24775,Saguenay,Quebec,
24776,Saguenay,Quebec,
24778,Saguenay,Quebec,
24779,Saguenay,Quebec,
24781,Saint John,New Brunswick,
24782,Saint John,New Brunswick,
24784,Saint John,New Brunswick,
24785,Saint John,New Brunswick,
24787,Saskatoon,Saskatchewan,
24788,Saskatoon,Saskatchewan,
24790,Saskatoon,Saskatchewan,
24791,Saskatoon,Saskatchewan,
24793,Sherbrooke,Quebec,
24794,Sherbrooke,Quebec,
24796,Sherbrooke,Quebec,
24797,Sherbrooke,Quebec,
24799,Thunder Bay,Ontario,
24800,Thunder Bay,Ontario,
24802,Thunder Bay,Ontario,
24803,Thunder Bay,Ontario,
24805,Toronto,Ontario,
24806,Toronto,Ontario,
24808,Toronto,Ontario,
24809,Toronto,Ontario,
24811,Trois-Rivières,Quebec,
24812,Trois-Rivières,Quebec,
24814,Trois-Rivières,Quebec,
24815,Trois-Rivières,Quebec,
24817,Vancouver,British Columbia,
24818,Vancouver,British Columbia,
24820,Vancouver,British Columbia,
24821,Vancouver,British Columbia,
24823,Victoria,British Columbia,
24824,Victoria,British Columbia,
24826,Victoria,British Columbia,
24827,Victoria,British Columbia,
24829,Windsor,Ontario,
24830,Windsor,Ontario,
24832,Windsor,Ontario,
24833,Windsor,Ontario,
24835,Winnipeg,Manitoba,
24836,Winnipeg,Manitoba,
24838,Winnipeg,Manitoba,
24839,Winnipeg,Manitoba,
24847,Abbotsford-Mission,British Columbia,
24848,Abbotsford-Mission,British Columbia,
24850,Abbotsford-Mission,British Columbia,
24851,Abbotsford-Mission,British Columbia,
24853,Barrie,Ontario,
24854,Barrie,Ontario,
24856,Barrie,Ontario,
24857,Barrie,Ontario,
24859,Brantford,Ontario,
24860,Brantford,Ontario,
24862,Brantford,Ontario,
24863,Brantford,Ontario,
24865,Calgary,Alberta,
24866,Calgary,Alberta,
24868,Calgary,Alberta,
24869,Calgary,Alberta,
24871,Edmonton,Alberta,
24872,Edmonton,Alberta,
24874,Edmonton,Alberta,
24875,Edmonton,Alberta,
24877,Greater Sudbury,Ontario,
24878,Greater Sudbury,Ontario,
24880,Greater Sudbury,Ontario,
24881,Greater Sudbury,Ontario,
24883,Guelph,Ontario,
24884,Guelph,Ontario,
24886,Guelph,Ontario,
24887,Guelph,Ontario,
24889,Halifax,Nova Scotia,
24890,Halifax,Nova Scotia,
24892,Halifax,Nova Scotia,
24893,Halifax,Nova Scotia,
24895,Hamilton,Ontario,
24896,Hamilton,Ontario,
24898,Hamilton,Ontario,
24899,Hamilton,Ontario,
24901,Kelowna,British Columbia,
24902,Kelowna,British Columbia,
24904,Kelowna,British Columbia,
24905,Kelowna,British Columbia,
24907,Kingston,Ontario,
24908,Kingston,Ontario,
24910,Kingston,Ontario,
24911,Kingston,Ontario,
24913,Kitchener-Cambridge-Waterloo,Ontario,
24914,Kitchener-Cambridge-Waterloo,Ontario,
24916,Kitchener-Cambridge-Waterloo,Ontario,
24917,Kitchener-Cambridge-Waterloo,Ontario,
24919,London,Ontario,
24920,London,Ontario,
24922,London,Ontario,
24923,London,Ontario,
24925,Moncton,New Brunswick,
24926,Moncton,New Brunswick,
24928,Moncton,New Brunswick,
24929,Moncton,New Brunswick,
24931,Montréal,Quebec,
24932,Montréal,Quebec,
24934,Montréal,Quebec,
24935,Montréal,Quebec,
24937,Oshawa,Ontario,
24938,Oshawa,Ontario,
24940,Oshawa,Ontario,
24941,Oshawa,Ontario,
24943,Ottawa-Gatineau,Ontario/Quebec,
24944,Ottawa-Gatineau,Ontario/Quebec,
24946,Ottawa-Gatineau,Ontario/Quebec,
24947,Ottawa-Gatineau,Ontario/Quebec,
24949,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24950,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24952,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24953,Ottawa-Gatineau,Ontario part,Ontario/Quebec
24955,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24956,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24958,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24959,Ottawa-Gatineau,Quebec part,Ontario/Quebec
24961,Peterborough,Ontario,
24962,Peterborough,Ontario,
24964,Peterborough,Ontario,
24965,Peterborough,Ontario,
24967,Québec,Quebec,
24968,Québec,Quebec,
24970,Québec,Quebec,
24971,Québec,Quebec,
24973,Regina,Saskatchewan,
24974,Regina,Saskatchewan,
24976,Regina,Saskatchewan,
24977,Regina,Saskatchewan,
24979,St. Catharines-Niagara,Ontario,
24980,St. Catharines-Niagara,Ontario,
24982,St. Catharines-Niagara,Ontario,
24983,St. Catharines-Niagara,Ontario,
24985,St. John's,Newfoundland and Labrador,
24986,St. John's,Newfoundland and Labrador,
24988,St. John's,Newfoundland and Labrador,
24989,St. John's,Newfoundland and Labrador,
24991,Saguenay,Quebec,
24992,Saguenay,Quebec,
24994,Saguenay,Quebec,
24995,Saguenay,Quebec,
24997,Saint John,New Brunswick,
24998,Saint John,New Brunswick,
25000,Saint John,New Brunswick,
25001,Saint John,New Brunswick,
25003,Saskatoon,Saskatchewan,
25004,Saskatoon,Saskatchewan,
25006,Saskatoon,Saskatchewan,
25007,Saskatoon,Saskatchewan,
25009,Sherbrooke,Quebec,
25010,Sherbrooke,Quebec,
25012,Sherbrooke,Quebec,
25013,Sherbrooke,Quebec,
25015,Thunder Bay,Ontario,
25016,Thunder Bay,Ontario,
25018,Thunder Bay,Ontario,
25019,Thunder Bay,Ontario,
25021,Toronto,Ontario,
25022,Toronto,Ontario,
25024,Toronto,Ontario,
25025,Toronto,Ontario,
25027,Trois-Rivières,Quebec,
25028,Trois-Rivières,Quebec,
25030,Trois-Rivières,Quebec,
25031,Trois-Rivières,Quebec,
25033,Vancouver,British Columbia,
25034,Vancouver,British Columbia,
25036,Vancouver,British Columbia,
25037,Vancouver,British Columbia,
25039,Victoria,British Columbia,
25040,Victoria,British Columbia,
25042,Victoria,British Columbia,
25043,Victoria,British Columbia,
25045,Windsor,Ontario,
25046,Windsor,Ontario,
25048,Windsor,Ontario,
25049,Windsor,Ontario,
25051,Winnipeg,Manitoba,
25052,Winnipeg,Manitoba,
25054,Winnipeg,Manitoba,
25055,Winnipeg,Manitoba,
25063,Abbotsford-Mission,British Columbia,
25064,Abbotsford-Mission,British Columbia,
25066,Abbotsford-Mission,British Columbia,
25067,Abbotsford-Mission,British Columbia,
25069,Barrie,Ontario,
25070,Barrie,Ontario,
25072,Barrie,Ontario,
25073,Barrie,Ontario,
25075,Brantford,Ontario,
25076,Brantford,Ontario,
25078,Brantford,Ontario,
25079,Brantford,Ontario,
25081,Calgary,Alberta,
25082,Calgary,Alberta,
25084,Calgary,Alberta,
25085,Calgary,Alberta,
25087,Edmonton,Alberta,
25088,Edmonton,Alberta,
25090,Edmonton,Alberta,
25091,Edmonton,Alberta,
25093,Greater Sudbury,Ontario,
25094,Greater Sudbury,Ontario,
25096,Greater Sudbury,Ontario,
25097,Greater Sudbury,Ontario,
25099,Guelph,Ontario,
25100,Guelph,Ontario,
25102,Guelph,Ontario,
25103,Guelph,Ontario,
25105,Halifax,Nova Scotia,
25106,Halifax,Nova Scotia,
25108,Halifax,Nova Scotia,
25109,Halifax,Nova Scotia,
25111,Hamilton,Ontario,
25112,Hamilton,Ontario,
25114,Hamilton,Ontario,
25115,Hamilton,Ontario,
25117,Kelowna,British Columbia,
25118,Kelowna,British Columbia,
25120,Kelowna,British Columbia,
25121,Kelowna,British Columbia,
25123,Kingston,Ontario,
25124,Kingston,Ontario,
25126,Kingston,Ontario,
25127,Kingston,Ontario,
25129,Kitchener-Cambridge-Waterloo,Ontario,
25130,Kitchener-Cambridge-Waterloo,Ontario,
25132,Kitchener-Cambridge-Waterloo,Ontario,
25133,Kitchener-Cambridge-Waterloo,Ontario,
25135,London,Ontario,
25136,London,Ontario,
25138,London,Ontario,
25139,London,Ontario,
25141,Moncton,New Brunswick,
25142,Moncton,New Brunswick,
25144,Moncton,New Brunswick,
25145,Moncton,New Brunswick,
25147,Montréal,Quebec,
25148,Montréal,Quebec,
25150,Montréal,Quebec,
25151,Montréal,Quebec,
25153,Oshawa,Ontario,
25154,Oshawa,Ontario,
25156,Oshawa,Ontario,
25157,Oshawa,Ontario,
25159,Ottawa-Gatineau,Ontario/Quebec,
25160,Ottawa-Gatineau,Ontario/Quebec,
25162,Ottawa-Gatineau,Ontario/Quebec,
25163,Ottawa-Gatineau,Ontario/Quebec,
25165,Ottawa-Gatineau,Ontario part,Ontario/Quebec
25166,Ottawa-Gatineau,Ontario part,Ontario/Quebec
25168,Ottawa-Gatineau,Ontario part,Ontario/Quebec
25169,Ottawa-Gatineau,Ontario part,Ontario/Quebec
25171,Ottawa-Gatineau,Quebec part,Ontario/Quebec
25172,Ottawa-Gatineau,Quebec part,Ontario/Quebec
25174,Ottawa-Gatineau,Quebec part,Ontario/Quebec
25175,Ottawa-Gatineau,Quebec part,Ontario/Quebec
25177,Peterborough,Ontario,
25178,Peterborough,Ontario,
25180,Peterborough,Ontario,
25181,Peterborough,Ontario,
25183,Québec,Quebec,
25184,Québec,Quebec,
25186,Québec,Quebec,
25187,Québec,Quebec,
25189,Regina,Saskatchewan,
25190,Regina,Saskatchewan,
25192,Regina,Saskatchewan,
25193,Regina,Saskatchewan,
25195,St. Catharines-Niagara,Ontario,
25196,St. Catharines-Niagara,Ontario,
25198,St. Catharines-Niagara,Ontario,
25199,St. Catharines-Niagara,Ontario,
25201,St. John's,Newfoundland and Labrador,
25202,St. John's,Newfoundland and Labrador,
25204,St. John's,Newfoundland and Labrador,
25205,St. John's,Newfoundland and Labrador,
25207,Saguenay,Quebec,
25208,Saguenay,Quebec,
25210,Saguenay,Quebec,
25211,Saguenay,Quebec,
25213,Saint John,New Brunswick,
25214,Saint John,New Brunswick,
25216,Saint John,New Brunswick,
25217,Saint John,New Brunswick,
25219,Saskatoon,Saskatchewan,
25220,Saskatoon,Saskatchewan,
25222,Saskatoon,Saskatchewan,
25223,Saskatoon,Saskatchewan,
25225,Sherbrooke,Quebec,
25226,Sherbrooke,Quebec,
25228,Sherbrooke,Quebec,
25229,Sherbrooke,Quebec,
25231,Thunder Bay,Ontario,
25232,Thunder Bay,Ontario,
25234,Thunder Bay,Ontario,
25235,Thunder Bay,Ontario,
25237,Toronto,Ontario,
25238,Toronto,Ontario,
25240,Toronto,Ontario,
25241,Toronto,Ontario,
25243,Trois-Rivières,Quebec,
25244,Trois-Rivières,Quebec,
25246,Trois-Rivières,Quebec,
25247,Trois-Rivières,Quebec,
25249,Vancouver,British Columbia,
25250,Vancouver,British Columbia,
25252,Vancouver,British Columbia,
25253,Vancouver,British Columbia,
25255,Victoria,British Columbia,
25256,Victoria,British Columbia,
25258,Victoria,British Columbia,
25259,Victoria,British Columbia,
25261,Windsor,Ontario,
25262,Windsor,Ontario,
25264,Windsor,Ontario,
25265,Windsor,Ontario,
